"UniqueID","FirstName","Intent","Sentence","Sentiment","Time","Type"
"8b23f854-365d-4b5a-a35a-06c5b40f10d3","","Password","I need to change my password","'-1","2022-04-25 23:28:40.120563","Intent score below threshold"
"ef5af975-1632-40cc-9045-44df9a9854ca","Austin","Network","I need help with my username","NEUTRAL","2022-04-25 23:42:36.265581","Success"
"d926d427-b975-4c53-adc6-4b87df0da781","","Password","Do i'ss needs to change my password","NEGATIVE","2022-04-25 23:43:34.975441","Negative Sentiment"
"07b9376b-0563-41bf-9f99-3fc82c2cbb69","","Checking","My dog ate my password, I need a new one.","'-1","2022-04-22 18:07:26.261978","Intent score below threshold"
"b3a14262-1995-4e00-ab13-656a360698a2","Austin","Password","Do aiasasawq needs to change my password","NEUTRAL","2022-04-25 23:54:17.134128","Success"
"b3c75e4f-90b9-498e-b37c-91e6e5229ba7","","Credit","I need credit.","'-1","2022-04-22 18:09:32.143179","Intent score below threshold"
"6b6b1a3b-b741-4da0-9f42-4c5d43a754d7","Austin","Password","My dog ate my password, I need a new one.","NEUTRAL","2022-04-16 21:14:51.462208","Success"
"194dce4e-6c6b-489e-bac8-1c7d63bef744","","Loan","I need a loan.","'-1","2022-04-22 18:08:11.463741","Intent score below threshold"
"adbfbb0b-95b2-4580-9938-bd2e6709d509","","Password","I need to change my password","'-1","2022-04-25 23:29:48.522983","Intent score below threshold"
"8d137365-2a6d-498f-926f-1e917ab904ee","Austin","Password"," I forgot my password","NEUTRAL","2022-04-26 00:48:31.159962","Success"
"bc7d110e-9d2b-466f-86d8-16492c21263a","","Password","I need to change my password","'-1","2022-04-25 23:24:01.829347","Intent score below threshold"
"73e98f32-9764-40d4-bf2e-ddeb8daf202f","","Password","I need to change my password6","'-1","2022-04-26 00:20:06.039109","Intent score below threshold"
"79faab3f-849d-4830-983b-f495463bd8f9","","Account","I need a new credit card.","'-1","2022-04-25 23:22:51.296756","Intent score below threshold"
"c7a1b1e0-363d-44ee-9fce-ad45895498b6","","Account","I need a new credit card.","'-1","2022-04-25 23:23:04.116681","Intent score below threshold"
"35ca5e61-1874-4742-bffb-1b137d00d0cf","","Password","I need to change my password","'-1","2022-04-25 23:28:29.220116","Intent score below threshold"
"fe5e0049-960f-4281-8522-d31228e13eb0","","Password","Do me needing to change my password","NEGATIVE","2022-04-26 00:07:24.462757","Negative Sentiment"
"d2a453a6-bf9f-49ba-9d4f-84c7b3933a66","","Password","Do me needs to change my password","NEGATIVE","2022-04-26 00:03:55.903195","Negative Sentiment"
"6d0cbc99-caee-4496-bae7-d0b6dc7d1437","","Password","I need to change my password","'-1","2022-04-25 23:28:44.885039","Intent score below threshold"
"823e6529-ee15-4fc5-86a1-c7413cc80791","Austin","Password","i think i forgot my password...","NEUTRAL","2022-05-13 15:17:46.370752","Success"
"7ab1e2c9-b234-46e4-87fd-61ce84210b5b","","Password","I need to change my password","'-1","2022-04-25 23:24:09.418296","Intent score below threshold"
"b286b11a-feb0-4575-b392-feb3ece25ce9","","Password","Do iasas needs to change my password","NEGATIVE","2022-04-25 23:46:11.135837","Negative Sentiment"
"ec2d6106-d733-446e-9312-7f42ae9ef7fb","Austin","Password","My dog ate my password, I need a new one.","NEUTRAL","2022-04-16 21:15:16.997159","Success"
"12888213-0949-47eb-a549-24afff428783","Austin","Password","Do aiasasawqmz needs to change my password","NEUTRAL","2022-04-26 00:01:21.498721","Success"
"c2056b85-7428-4a6e-b7d3-ef22f474c970","Austin","Password","I need to change my password","NEUTRAL","2022-04-25 23:30:19.016377","Success"
"3a9d0ec1-9069-4546-bce8-c860d5364bdf","Austin","Password","Do aiasasaw needs to change my password","NEUTRAL","2022-04-25 23:47:50.907670","Success"
"1225f0e1-e859-4ae6-869e-ccbcde9dd00f","Austin","Checking","I need to change my password...""","NEUTRAL","2022-05-13 15:09:15.817122","Success"
