Account,Create new account and share the username and password
Password,FW: Myspace Login Issue-- Ania
Password,Login credetials are not working.
Account,New Account is needed for a new joinee.
Network,Request to configure the system to share it among users
Network,Needs permission wifi access to laptop
Network,LAN not working in a VM
Network,Wifi access needed.
Software,My Space QA application is down
Email,Configure outlook in my system
Software,Install postgres database on my machine
OS,System showing blue screen on startup
Hardware,Desktop not working
OS,"System behaving strangely, blue screen is appearing in middle"
Network,My Internet is not working
Password,"Account got locked, because of 3 wrong attempts os password. Could you please reset the password"
OS,System hangs with blue screen on startup
Network,Unable to connect to Internet
Network,Facing network/internet issue with wifi xwq090
Hardware,Replace the battery for my Macbook laptop
Hardware,Computer is not getting switched on
Password,"Forgot the password, can you please reset the password for me."
Password,MySpace Password Expiry
Software,install MS office
Password,Password expired.
Password,Account locked. Not able to login
Email,Are spaces allowed in email addresses?
Virus,Can a virus damage computer hardware?
Virus,Does Windows come with a virus protection program?
Hardware,How can I clean my keyboard?
FALSE,How can I recover a file from the recycle bin?
OS,How can I update my Microsoft Windows computer?
FALSE,How do I delete Internet cookies?
FALSE,How do I determine my computer's name?
Hardware,How do I fix a paper jam?
FALSE,How do I get into safe mode?
Network,How do I map a network drive?
Email,I am unable to send or receive email?
Network,I can't connect to my network drive anymore?
FALSE,I can't delete a file because it is being used by Windows?
Email,I can't receive any email attachments?
FALSE,"I get a 'no signal input' message, what do I do?"
Hardware,"I lost my printer installation disk, how can I install my printer?"
Virus,If I format or erase my hard drive will it remove a virus?
Hardware,Is it safe to turn off a Windows computer without doing a shut down?
Hardware,My Computer doesnâ€™t power up?
OS,My Computer freezes or is behaving strangely?
Hardware,"My computer does not turn on, what do I do now?"
Hardware,My printer is printing smudged/distorted pages?
Hardware,Nothing appears on Monitor?
Hardware,"The wheel on my mouse isn't working properly, what do I do?"
FALSE,"There are black borders on my screen, what do I do?"
Hardware,"There is no display on the monitor, what do I do now?"
Hardware,What do I do if my hard disk fails to work?
Hardware,What do I do if the image on screen is distorted or skewed?
OS,What do I do when my computer crashes?
Virus,What is a computer virus?
Hardware,Why is my mouse acting erratically?
Account,A new account is required for a new client.
Email,Are spaces allowed in e-mail addresses?
Password,Blocked account. Impossible to connect
Virus,Can a virus damage computer hardware?
Network,Can not connect to the Internet
Password,"Compte a Ã©tÃ© verrouillÃ©, Ã cause de 3 mauvaises tentatives os mot de passe. Pourriez-vous rÃ©initialiser le mot de passe?"
Email,Configure Outlook in my system
Account,Create a new account and share the username and password
Virus,Does Windows come with a virus protection program?
Password,FW: Connection issue of Myspace-- Ania
Network,Faced with a network / internet problem with wifi xwq090
Password,"Forgotten password, can you please reset the password for me."
Hardware,How can I clean my keyboard?
FALSE,How can I determine the name of my computer?
FALSE,How can I enter safe mode?
FALSE,How can I recover a file from the recycle bin?
OS,How can I update my Microsoft Windows computer?
FALSE,How to delete Internet cookies?
Hardware,How to fix a paper jam?
Network,How to map a network drive?
Network,I can not connect to my network drive anymore?
FALSE,I can not delete a file because it is used by Windows?
Email,I can not receive any attachments?
Email,I can not send or receive e-mail?
Hardware,"I lost my printer installation disc, how can I install my printer?"
FALSE,"I receive a message ""no signal input"", what should I do?"
Virus,"If I format or erase my hard drive, will it remove a virus?"
Software,Install the postgres database on my machine
Hardware,Is it safe to turn off a Windows computer without shutting down?
Network,LAN does not work in a virtual machine
Password,Login credetials do not work.
Network,My Internet does not work
Hardware,"My computer does not turn on, what should I do now?"
Hardware,My computer does not turn on?
OS,My computer freezes or behaves strangely?
Hardware,"My mouse wheel is not working properly, what should I do?"
Hardware,My printer prints stained / distorted pages?
Password,MySpace Password Expiry
Network,Need Ethernet access
Network,Need authorization wifi access to a laptop
Hardware,Nothing appears on Monitor?
Password,Password expired.
Hardware,Replace the battery for my Macbook laptop
OS,"System behaving strangely, the blue screen appears in the middle"
Network,System configuration request to share it between users
OS,System showing the blue screen at startup
Software,The My Space QA app is down
Hardware,The computer does not turn on
Software,The office does not work
OS,The system hangs with a blue screen at startup
FALSE,"There are black borders on my screen, what should I do?"
Hardware,"There is no display on the monitor, what should I do now?"
Hardware,What if my hard drive does not work?
Virus,What is a computer virus?
Hardware,What to do if the image on the screen is distorted or tilted?
OS,What to do when my computer crashes?
